Mnt/Yr,1997,1998,1999,2000,2001,2002,2003,2004,2005
Jan,106.2,181,315,59,216.5,90.8,169.4,138.8,189.1
Feb,96.6,50.2,268.8,86.7,15.1,78.5,85.7,200.8,43.9
Mar,134.4,29.4,196.9,182.2,158,96.5,162.6,237.9,62.5
April,109.8,35.3,322,115,164.8,73.4,285.3,88.5,168.2
Mei,80.9,133.5,302.6,60.3,252.8,195.2,245.7,68,229.5
Juni,175.3,144.6,256.2,191.1,306.7,191.7,196.3,200.5,174
Juli,225.8,213,29.9,121.9,121.3,139.2,312.1,206.8,210.8
Agts,95.7,381,78.6,342.6,417.6,156.3,282,204.3,145.7
Sept,290.6,170.8,407.2,451.1,395.7,382.5,561.5,475.3,290.5
Okt,391.1,340.3,204.1,367.5,733,363.8,471.9,377.5,175.5
Nop,265.4,275.8,126.4,108,467.6,164.3,125.4,141.2,206.4
Des,182.4,394.2,456.3,173.6,342.5,102.2,187.7,166.4,311.4
